User,Accident [Y/N],Year,Folder Name,Video Name,Link,Video Length [sec],Pre collission [sec],Collission [sec],Post collission [sec],"Light conditions [Sunny, Cloudy, Rainy, Showy, Night]","Text on Video [NO, Upper Right corner, Upper Left Corner, Lower Right Corner, Lower Left Corner]",Camera Location (if shown),Day of accident (if shown),Time of collission (if shown),"Type of Accident [Rear ended, With object, T-bone, Other]",Camera Moved [Y/N],Camera Move Time [sec],Other Comments
Nelson Abreu,Y,2016,20161126-01 CR Crash,CRTV10--2016_11_26_01_55_13-2016_11_26_03_55_11.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665494089021,8256,,,,NIght,Upper Left Corner,I-380 4th St SE,"11,28,2016",,,Y,6840,"Bad Quality Video, looks like there is an accident but could not see it"
Nelson Abreu,N,2017,20171219 DM I-235 Black Sedan Leaving the crash scene,DMTV08--2017_12_19_12_56_22-2017_12_19_13_16_20.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665560020040,1192,,,,Sunny,Upper Left Corner,East I-235 WB Overpass Center @ 7th St,,,,N,,No accidents
Nelson Abreu,N,2017,20171219 DM I-235 Black Sedan Leaving the crash scene,DMTV07--2017_12_19_12_56_22-2017_12_19_13_16_20.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665560143667,1193,,,,Sunny,Upper Left Corner,East I-235 EB Overpass Center @ 2nd Ave,,,,N,,No accidents
Nelson Abreu,N,2017,20171219 AM I-35 Crash,AMTV02--2017_12_19_06_35_07-2017_12_19_06_55_05.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665560440910,1194,,,,Night,Upper Left Corner,Nort I-35 NB @ Heart of IA Tr,,,,N,,No accidents
Nelson Abreu,N,2017,20171219 AM I-35 Crash,AMTV01--2017_12_19_06_37_45-2017_12_19_06_57_43.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665561015321,1194,,,,Night,Upper Left Corner,South  I-35 SB Overpass @ IA 210,,,,N,,
Nelson Abreu,Y,2017,20171224 DM I-235 Exit 8A Attenuator Crash,DMTV07--2017_12_24_20_01_28-2017_12_24_20_02_12.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665563914764,40,2,4,7,Night,Upper Left Corner,East I-245 E8 Overpass Center @ 2nd Ave,"12,24,2017",20:01:33,Direct impact to side road protection,N,,
Nelson Abreu,N,2017,20171215 DM I-80 Crash with cable barrier,DMTV25--2017_12_15_15_16_07-2017_12_15_16_06_06.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665559100672,2996,,,,Sunny,Upper Left Corner,East I-280 EB Hubbell,"12,15,2017",,,Y,1675,Camera zoom at 33:25 to see the vehicle but the footage of the accident was too far to see it.
Nelson Abreu,Y,2017,20171215 DM I-80 Crash with cable barrier,DMTV56--2017_12_15_15_16_05-2017_12_15_16_06_03.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665560384984,2995,,1646,1652,Sunny,Upper Left Corner,East I-80 EB Overpass @ 34th Ave,"12,15,2017",15:43:34,Car lost control under the overpass,N,,Accident occurs under the overpass
Nelson Abreu,N,2017,20171216 DM US 6 Jolly Holiday Lights Crash,DMTV59--2017_12_16_19_18_50-2017_12_16_19_53_21.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558947218,2068,,,,Night,Upper Left Corner,South I-80 WB @ Hubell Ave,"12,16,2017",,,N,,Incident occurs before the video provided started.
Nelson Abreu,Y,2017,20171216 CR I-380 Rollover Crash,CRTV03--2017_12_16_15_50_16-2017_12_16_15_52_46.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665560460075,148,17,20,25,Sunny,Upper Left Corner,North I-380 @ 76th Ave,"12,16,2017",15:45:02,Car lost control and rollover,N,,Car lost control and impact the right side of the highway
Nelson Abreu,Y,2017,20171216 CR I-380 Rollover Crash,Single Vehicle Crash at End of Queue (short version).mp4,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665557053045,19,7,10,14,Sunny,Upper Left Corner,North I-380 @ 76th Ave,"12,16,2017",15:45:02,Car lost control and rollover,N,,This is the short version of previous row video in mp4 format
Nelson Abreu,Y,2017,20171215 CR IA 100 Crash on the intersection,CRTV46--2017_12_15_17_15_57-2017_12_15_17_55_55.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665561667294,2395,1996,1999,2004,Night,Upper Left Corner,West CR-IA 100 @ S 22nd St,"12,15,2017",17:43:08,Left side crash,N,,2 cars crash in intersection
Nelson Abreu,Y,2017,20171215 AM I-35 Rollover Crash,AMTV02--2017_12_15_00_14_52-2017_12_15_01_19_51.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558696729,3897,972,975,984,Night,Upper Left Corner,North I-35 NB @ Heart of IA Tr,"12,15,2017",0:25:18,Car lost control to left side and roller,N,,
Nelson Abreu,N,2017,20171212 QC I-74 at Middle Rd Crash,QCTV09--2017_12_12_13_57_54-2017_12_12_14_50_38.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665559386161,3162,,,,Sunny,Upper Left Corner,South I-74 @ Middle Rd,,,,N,,"Video freezes at 45:46, no incident detect just an electrical company truck on duty"
Nelson Abreu,N,2017,20171213 DM I35 SUV vs Semi Crash,DMTV24--2017_12_13_17_59_43-2017_12_13_18_29_42.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665563709207,1796,,,,Night,Upper Left Corner,West I-35/80 @ E 14th,,,,N,,
Nelson Abreu,N,2017,20171213 DM I35 SUV vs Semi Crash,DMTV23--2017_12_13_18_06_08-2017_12_13_18_36_06.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665562325326,1794,,,,Night,Upper Left Corner,East I-35/80 EB @ 2nd Ave,,,,N,,
Nelson Abreu,N,2017,20171213 DM I35 SUV vs Semi Crash,DMTV23--2017_12_13_17_56_08-2017_12_13_18_26_06.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558332689,1796,,,,Night,Upper Left Corner,East I-35/80 EB @ 2nd Ave,,,,N,,
Nelson Abreu,Y,2017,20171212 CR I-380 crashes,CRTV10--2017_12_11_23_23_06-2017_12_12_00_30_17.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558386756,4030,1189,1192,1199,Night,Upper Left Corner,South I-380 @ 4th St SE,"12,11,2017",23:37:35,Left corner crash,Y,176,
Nelson Abreu,Y,2017,20171212 CR I-380 crashes,CRTV10--2017_12_11_23_42_50-2017_12_11_23_43_45.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665560928259,54,5,8,11,Night,Upper Left Corner,South I-380 @ 4th St SE,"12,11,2017",23:37:35,Left corner crash,N,,Is the short version of previous video
Nelson Abreu,N,2017,20171212 CR I-380 crashes,CRTV09--2017_12_11_23_14_14-2017_12_12_00_05_41.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665562914185,3084,,,,Night,Upper Left Corner,North I-380 @ 1st Ave,"12,17,2017",,Right corner crash,N,,"The incident ocurred before the video started, the car was already there."
Nelson Abreu,Y,2017,20171212 CR I-380 crashes,CRTV09--2017_12_11_23_14_10-2017_12_11_23_14_27.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665557855156,15,7,9,13,Night,Upper Left Corner,North I-380 @ 1st Ave,"12,17,2017",23:08:56,Right corner crash,N,,
Nelson Abreu,N,2017,20171212 DM I-35_80 at University Ave Crash,DMTV51--2017_12_12_17_16_10-2017_12_12_17_46_08.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665559434970,1795,,,,Night,Upper Left Corner,North I-35/80 SB Overpass @ University,,,,Y,226,
Nelson Abreu,N,2017,20171212 DM I-235 at 2nd Ave Crash,DMTV07--2017_12_12_16_18_04-2017_12_12_16_38_02.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665562926946,1194,,,,Sunny,Upper Left Corner,East I-235 EB Overpass Center @ 2nd Ave,,,,Y,277,Traffic control vehiculo stops in the right side in 08:13
Nelson Abreu,N,2017,20171212 DM I-35_80 at Douglas Crash,DMTV42--2017_12_12_16_16_10-2017_12_12_16_36_09.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665559914584,1196,,,,Almost Night,Upper Left Corner,South I-35/80 NB Overpass @ Douglas,,,,N,,
Nelson Abreu,N,2017,20171207 IC I-80 Crash,ICTV26--2017_12_07_05_58_15-2017_12_07_09_28_13.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665563300431,12592,,,,Night and Sunny,Upper Left Corner,West I80 EB @ Jhonson-Iowa,,,,N,,
Nelson Abreu,N,2017,20171207 IC I-80 Crash,ICTV27--2017_12_07_05_58_03-2017_12_07_09_28_01.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665562434664,12593,,,,Night and Sunny,Upper Left Corner,East I80WB @ Black Hawk Av,,,,N,,
Nelson Abreu,N,2017,20171209 QC I-74 at Last IA Exit Crash,QCTV08--2017_12_09_17_57_31-2017_12_09_18_22_30.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665559715968,1498,,,,Night,Upper Left Corner,South I-74 @ Last Iowa Exit,,,,N,,
Nelson Abreu,N,2017,20171130 CB I-80 WB at MM 3 Work Zone Crash,CBTV48--2017_11_30_17_30_35-2017_11_30_18_15_11.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558600444,2675,,,,Night,Upper Left Corner,West South Express ramp to I-80WB,,,,Y,774,Truck stops in the right at 08:08. A cars appears to have an incident but the moment is not in the video.
Nelson Abreu,N,2017,20171130 CB I-80 WB at MM 3 Work Zone Crash,CBTV55--2017_11_30_17_30_33-2017_11_30_18_14_47.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665559496727,2649,,,,Night,Upper Left Corner,East I-29/80 @ S. Expressway,,,,Y,706,The moment of the incident is not in the video.
Nelson Abreu,N,2017,20171129 AM I-35 Car Semi Crash,AMTV07--2017_11_29_15_09_03-2017_11_29_15_39_01.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558866493,1796,,,,Sunny,Upper Left Corner,South I-35 NB @ US 30,,,,N,,
Nelson Abreu,N,2017,20171129 AM I-35 Car Semi Crash,AMTV06--2017_11_29_15_09_05-2017_11_29_15_39_03.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558885603,1793,,,,Sunny,Upper Left Corner,South I-35 SB @ US 30,,,,N,,A car stopped in the right side on exit 111A
Nelson Abreu,N,2017,20171128 CB overnight work zone crash,CBTV45--2017_11_28_01_01_05-2017_11_28_01_01_50.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665561991512,43,,,,Night,Upper Left Corner,I-29 @ W of 24th ST,,,,N,,
Nelson Abreu,N,2017,20171128 CB overnight work zone crash,CBTV51--2017_11_28_01_00_57-2017_11_28_01_56_40.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665557860092,3336,,,,Night,Upper Left Corner,West I-29/80 @ 24th St Exit Ramp,,,,N,,
Nelson Abreu,N,2017,20171129 CB overnight work zone crash,CBTV46--2017_11_28_01_01_03-2017_11_28_01_56_24.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665562189086,3319,,,,Night,Upper Left Corner,West I-29/80 @ West of 24 Streeth,,,,N,,Looks like there is an accident but the display does not allow to see anything on video.
Nelson Abreu,N,2017,20171130 CB overnight work zone crash,CBTV02--2017_11_28_01_01_30-2017_11_28_01_56_29.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665562687209,3297,,,,Night,Upper Left Corner,West I-80/I-29 Interchange Ramp,,,,N,,"The incident is not recorded in this video,  ocurred before "
Nelson Abreu,N,2017,20171131 CB overnight work zone crash,CBTV52--2017_11_28_01_01_21-2017_11_28_01_01_56,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665559542792,31,,,,Night,Upper Left Corner,South I-29 @ North Of West I-29 Interchange,,,,N,,
Nelson Abreu,N,2017,20171116 IC I-380 Mult veh Crash,ICTV15--2017_11_16_06_29_05-2017_11_16_09_29_04.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665559436520,10797,,,,Night and Sunny,Upper Left Corner,North I-380 @ Swan Lake,,,,Y,4057,The video shows multiple maintenance vehicles working but not accidents
Nelson Abreu,N,2017,20171117 IC I-380 Mult veh Crash,ICTV16--2017_11_16_06_27_55-2017_11_16_09_27_53.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665557685168,10797,,,,Night and Sunny,Upper Left Corner,North I-380 NB/Highway 965 NE,,,,N,,The video shows multiple maintenance vehicles working but not accidents. The camera moves several times.
Nelson Abreu,Y,2017,20171118 IC I-380 Mult veh Crash,ICTV17--2017_11_16_06_26_22-2017_11_16_09_26_20.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665557407667,10791,4660,4664,4669,Night and Sunny,Upper Left Corner,Sout I-30 @ Iowa River,"11,17,2017",7:38:34,Car crashed another card from the back,Y,1796,
Nelson Abreu,N,2017,20171127 DM I-35_80 at 2nd Ave Crash,DMTV23--2017_11_27_14_57_52-2017_11_27_16_12_51.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558678416,4495,,,,Sunny,Upper Left Corner,East I-35/80 E8 @ 2nd Ave,,,,N,,
Nelson Abreu,N,2017,20171125 QC I-80 at NW Blvd Crash,QCTV17--2017_11_25_10_39_06-2017_11_25_11_09_04.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665561719112,1682,,,,Sunny,Upper Left Corner,East I-80 @ Northwest Blvd,,,,N,,
Nelson Abreu,N,2017,20171125 DM I-35_80 Veh crash with median wall,IWZ3112--2017_11_25_03_18_28-2017_11_25_03_38_27.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665557422186,1197,,,,Night,Upper Left Corner,W I-80/35,,,,N,,
Nelson Abreu,N,2017,20171126 DM I-35_80 Veh crash with median wall,IWZ3158--2017_11_25_03_18_28-2017_11_25_03_38_26.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665561488526,1197,,,,Night,Upper Left Corner,E I-35/80,,,,N,,
Nelson Abreu,Y,2017,20171125 D1 US 65 IA 330 ICWS Semi Crash,D1TV06 Mingo NE_11-25-2017_12-18-58 PM.asf,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665559164317,1863,15,17,23,Sunny,Upper Left Corner,South US65 @ IA330,"11,25,2017",12:19:13,Truck crashed with car right side.,N,,
Nelson Abreu,Y,2017,20171126 D1 US 65 IA 330 ICWS Semi Crash,D1TV06 Mingo NE_11-25-2017_12-18-43 PM.asf,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665556481475,329,27,29,35,Sunny,Upper Left Corner,South US65 @ IA330,"11,25,2017",12:19:13,Truck crashed with car right side.,N,,
Nelson Abreu,Y,2017,20171127 D1 US 65 IA 330 ICWS Semi Crash,D1TV05 Mingo SW_11-25-2017_12-19-46 PM.asf,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665561383137,2404,10,13,21,Sunny,Upper Left Corner,East US 65 @ IA330,"11,25,2017",12:19:58,Truck crashed with car left side.,N,,
Nelson Abreu,Y,2017,20171128 D1 US 65 IA 330 ICWS Semi Crash,D1TV05 Mingo SW_11-25-2017_12-19-27 PM.asf,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665560446591,332,32,34,40,Sunny,Upper Left Corner,East US 65 @ IA330,"11,25,2017",12:19:58,Truck crashed with car left side.,N,,
Nelson Abreu,Y,2017,20171125 D1 US 65 IA 330 ICWS Car Crash,D1TV06 Mingo NE_11-25-2017_6-58-38 PM.asf,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665560903196,337,35,37,41,Night,Upper Left Corner,South US65@IA330,"11,25,2017",18:59:13,Car crashed with another card right side.,N,,
Nelson Abreu,Y,2017,20171126 D1 US 65 IA 330 ICWS Car Crash,D1TV05 Mingo SW_11-25-2017_6-58-38 PM.asf,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665556368159,338,82,84,89,Night,Upper Left Corner,East US65@IA330,"11,25,2017",18:59:58,Car crashed with another card right side.,N,,
Nelson Abreu,N,2017,20171117 DM US 65 SB to IA 163 Crash,DMTV28--2017_11_17_13_20_46-2017_11_17_13_21_51.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558976720,63,,,,Cloudy,Upper Left Corner,North US 65 NB @ University,,,,N,,
Nelson Abreu,Y,2017,20171112 DM I-80 Crash,DMTV54--2017_11_12_20_25_58-2017_11_12_20_45_56.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665557424274,1194,332,334,342,Night,Upper Left Corner,East I-80 WB Overpass @ NE 38th St,"11,12,2017",20:31:24,Car crashed left side wall.,N,,
Nelson Abreu,N,2017,20171113 DM I-80 Crash,DMTV26--2017_11_12_20_27_12-2017_11_12_20_47_10.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558161735,1194,,,,Night,Upper Left Corner,East I-80 US 65 SB,,,,N,,
Nelson Abreu,N,2017,20171114 DM I-80 Crash,DMTV26--2017_11_12_08_27_11-2017_11_12_08_47_10.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665556702923,1192,,,,Cloudy,Upper Left Corner,South I-80 EB @ US 65 SB,,,,N,,
Nelson Abreu,N,2017,20171110 IC I-380 Crash,ICTV04--2017_11_10_18_28_36-2017_11_10_18_58_34.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558099359,1792,,,,Night,Upper Left Corner,West I-80 @ Coral Ridge,,,,N,,
Nelson Abreu,N,2017,20171111 IC I-380 Crash,ICTV03--2017_11_10_18_26_10-2017_11_10_18_56_08.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558910086,1796,,,,Night,Upper Left Corner,North I-80 @ I-380/US218,,,,N,,
Nelson Abreu,N,2017,20171110 DM I-80 Crash,DMTV56--2017_11_10_13_56_29-2017_11_10_14_56_28.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558159946,3595,,,,Sunny,Upper Left Corner,East I-80 EB Overpass @ 34 th Ave,,,,N,,
Nelson Abreu,N,2017,20171111 DM I-80 Crash,DMTV26--2017_11_10_13_57_08-2017_11_10_14_57_06.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558700825,3592,,,,Sunny,Upper Left Corner,East I-80 EB @ US 65 SB,,,,Y,2800,
Nelson Abreu,N,2017,20171111 DM I-80 Crash,DMTV26--2017_11_10_13_57_08-2017_11_10_14_57_06.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558700825,3592,,,,Sunny,Upper Left Corner,West I-80 EB @ US 65 SB,,,,Y,2804,
Nelson Abreu,N,2017,20171109 CR I-380 at US 30 Crash,CRTV06--2017_11_09_10_28_29-2017_11_09_13_28_27.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665560657527,10795,,,,Sunny,Upper Left Corner,North I-380 @ 33rd Ave SW,,,,N,,
Nelson Abreu,N,2017,20171109 CR I-380 at US 30 Crash,CRTV04--2017_11_09_10_24_34-2017_11_09_13_29_33.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558889860,11094,,,,Sunny,Upper Left Corner,East I-380 @ US 30,,,,Y,5488,
Nelson Abreu,Y,2017,20171109 CR I-380 at US 30 Crash,CRTV05--2017_11_09_10_29_00-2017_11_09_13_28_59.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665557899347,10792,4998,5001,5019,Sunny,Upper Left Corner,South I-380 @ US 30 North,"11,09,2017",11:48:19,Car crashed with right side wall.,N,,Incident ocurrs in the left upper corner
Nelson Abreu,N,2017,20171110 DM I-80 Crash,DMTV56--2017_11_10_13_56_29-2017_11_10_14_56_28.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558159946,3595,,,,Sunny,Upper Left Corner,East I-80 EB Overpass @ 34th Ave,,,,Y,168,
Nelson Abreu,N,2017,20171110 DM I-80 Crash,DMTV26--2017_11_10_13_57_08-2017_11_10_14_57_06.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558700825,3592,,,,Sunny,Upper Left Corner,West I-80 EB @ US 65 SB,,,,Y,2799,
Nelson Abreu,N,2017,20171110 DM I-35 at MM 94 Ankeny Work Zone Crash,DMTV60--2017_11_10_14_39_43-2017_11_10_15_20_47.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665560416424,2462,,,,Sunny,Upper Left Corner,North I-35 SB @ Mile Post 94,,,,N,,
Nelson Abreu,N,2017,20171109 CR I-380 Crash,CRTV28--2017_11_09_11_38_40-2017_11_09_11_58_38.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665558483625,1196,,,,Sunny,Upper Left Corner,West US 30 @ J St SW,,,,N,,
Nelson Abreu,N,2017,20171110 CR I-380 Crash,CRTV04--2017_11_09_11_24_34-2017_11_09_11_59_33.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665555177876,2075,,,,Sunny,Upper Left Corner,East I-380 @ US 30,,,,Y,1887,
Nelson Abreu,Y,2017,20171109 D5 US 63 IA 163 Chillicothe Crash,DMTT01_11-9-2017_7-20-20 AM.asf,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665556404167,1199,92,95,103,Cloudy in the morning,Upper Left Corner,North Hwy 63 @ Eddyville Rd,"11,09,2017",7:21:51,White truck hit the car from the left side.,N,,
Nelson Abreu,N,2017,20171107 CR I-380 Crash on Ramp,CRTV04--2017_11_07_03_29_26-2017_11_07_05_59_24.mov,https://iastate.app.box.com/s/ltz1a7nn1kxkl04tmzj8yjej9r894byo/file/665555026378,8995,,,,Night,Upper Left Corner,North I-380 @ US 30,,,,Y,3390,
